<<<<<<< HEAD
Procurement Reference (Mandatory for Third Party - 1° Tier Vendor)  or IBM identification Nbr.	Entity Name (IBM or Third Party vendor)	Address/country	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Offering ID (level 30)	Offering ID (level 40)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	On boarding	Off-Boarding	Offering Owner	Assesment Owner	NOTE
unknowVendor_Id286	MICROSOFT	BRAZIL	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id458	MICROSOFT	BRAZIL	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id286	MICROSOFT	BRAZIL	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id458	MICROSOFT	BRAZIL	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id103	MICROSOFT	BRAZIL	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id104	MICROSOFT	CANADA	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id285	MICROSOFT	CANADA	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id457	MICROSOFT	CANADA	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id285	MICROSOFT	CANADA	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id457	MICROSOFT	CANADA	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id104	MICROSOFT	CANADA	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id289	MICROSOFT	CHINA	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id461	MICROSOFT	CHINA	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id289	MICROSOFT	CHINA	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id461	MICROSOFT	CHINA	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id105	MICROSOFT	COLOMBIA	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id105	MICROSOFT	COLOMBIA	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id291	MICROSOFT	GERMANY	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id463	MICROSOFT	GERMANY	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id291	MICROSOFT	GERMANY	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
